# Arguments: ['MovieLens100K', 8000, 2, 32, 10, 'xavier', 'NGCF', False]
# Training time: 7.253078937530518
Epoch,Loss,Precision,Recall,Hits
0,0.685801237821579,0.22766884531590414,0.1448256050059998,0.9193899782135077
1,0.6168950915336608,0.228867109045224,0.15183337841158598,0.9259259259259259
2,0.48736322820186617,0.2337690864513123,0.1524991303487541,0.9259259259259259
3,0.4473010152578354,0.2415032480277267,0.14473328766999422,0.9172113289760349
4,0.4354731529951096,0.24760347254136028,0.14457848908335036,0.9106753812636166
5,0.4249694973230362,0.2551198057619315,0.14668734348937057,0.9106753812636166
6,0.4192574262619019,0.2509803688863783,0.14864867964601206,0.9128540305010894
7,0.41453787982463836,0.238562091503268,0.1446973015280331,0.9106753812636166
8,0.41192983090877533,0.23812636830448325,0.139068229525697,0.8976034858387799
9,0.40649575293064116,0.24095858571835851,0.1440961085633255,0.9193899782135077
